sex,fans_number,member_number,total_live_number,totalSales_revenue,totalSales_volume,live_number_within30.1,totalProductConversion_rate,average_uv_value,total_product_number,total_fans_change,total_video_number,average_videoLike_number,average_videoViewe_number,average_videoComment_number,average_femaleFans_rate,average_maleFans_rate,living_time(h),viewer_number,product_number,comment_number,sales_number,increaseFans_number,fans_rate,like_number,ProductConversion_rate,perSales,UV_value,lucky_bag,averageStay_time,interact_rate,femaleFans_rate,maleFans_rate,product_interest_Apparel,product_interest_Baby Care Products,product_interest_Beauty & Skincare,product_interest_Food & Beverages,product_interest_Household Products,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,3.32,1088070,73,11236,19429,5735,0.53,608945,1.79,23.47,0.4191285762864521,13,76,2.17,87.96261913603168,12.037380863968313,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,2.562222222222222,779478,73,12926,6161,2687,0.34,220634,0.79,365.02,2.885096949496971,10,76,2.49,90.7365665672944,9.263433432705591,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,2.212222222222222,770148,76,24927,11777,7679,1.0,1372038,1.53,27.94,0.4272124318962069,9,80,3.47,87.34765262064819,12.652347379351806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,2.2725,587174,71,13800,14147,6202,1.06,487699,2.41,26.62,0.641474588452486,6,80,1.96,90.67644032921812,9.323559670781894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.85,505932,67,12447,9003,2886,0.57,188256,1.78,41.88,0.7452157602207411,3,64,1.71,91.4490861618799,8.550913838120104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.7997222222222222,477304,70,16592,15668,5614,1.18,327243,3.28,27.83,0.9136702814139416,7,84,1.38,89.79459459459459,10.205405405405406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.2763888888888888,345953,12,8441,3809,886,0.26,91621,1.1,9.0,0.0991306911632505,0,63,0.59,92.59002770083104,7.409972299168975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.2238888888888888,320096,24,9319,0,1050,0.33,78220,0.0,0.0,0.0,0,75,0.98,91.03199639477242,8.96800360522758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.1441666666666668,258690,0,5992,0,489,0.19,131686,0.0,0.0,0.0,0,63,0.98,79.70501474926253,20.29498525073746,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.6413888888888888,254194,71,6997,4199,1586,0.62,464221,1.65,25.12,0.4149544835834048,5,76,3.3,90.53816391136124,9.461836088638762,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.385,249465,59,7061,3969,696,0.28,93503,1.59,54.52,0.8674296193854851,3,71,2.61,92.36298292902066,7.637017070979335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.1294444444444445,212246,12,7060,2863,1157,0.55,157797,1.35,18.38,0.2479910104312919,2,71,2.18,90.101201771031,9.898798228969008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.3925,195488,8,6170,0,233,0.12,45722,0.0,0.0,0.0,0,61,0.46,87.65822784810126,12.341772151898734,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,29900705,437782,222,16939100.97,258332,31,1.8,1.09,352,-220926,13,230316,13098937,11866,11.06,88.94,1.1169444444444443,192316,64,7802,2675,1378,0.72,180083,1.39,29.58,0.4114504253416253,4,79,3.28,91.19183285849952,8.808167141500475,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,16.1675,1909362,114,10845,36914,7734,0.41,1644421,1.93,120.99,2.3391153020213675,18,83,2.77,85.99645111557146,14.003548884428543,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
